mode,alpha,beta,conf_threshold,minor_gate,major_gate,macro_f1,f1_minor,f1_major,f1_dest,triage
C,,,0.5,0.01,0.01,0.5069228280164816,0.125,0.1111111111111111,0.8523748395378691,0.2361111111111111
C,,,0.5,0.01,0.05,0.5075441730457213,0.10526315789473685,0.13333333333333333,0.8523748395378691,0.2385964912280702
C,,,0.5,0.01,0.1,0.5095395832237938,0.10526315789473685,0.14285714285714288,0.8512820512820513,0.24812030075187974
C,,,0.5,0.01,0.2,0.5118997519382629,0.0975609756097561,0.16,0.8512820512820513,0.2575609756097561
C,,,0.5,0.01,0.5,0.5118997519382629,0.0975609756097561,0.16,0.8512820512820513,0.2575609756097561
C,,,0.5,0.05,0.01,0.5082987211096818,0.12903225806451615,0.1111111111111111,0.8538461538461538,0.24014336917562726
C,,,0.5,0.05,0.05,0.5107491958402298,0.11764705882352941,0.13333333333333333,0.8527528809218949,0.25098039215686274
C,,,0.5,0.05,0.1,0.5127452843303753,0.11764705882352941,0.14285714285714288,0.8516624040920716,0.2605042016806723
C,,,0.5,0.05,0.2,0.5147789550602849,0.11428571428571428,0.15384615384615383,0.8516624040920716,0.2681318681318681
C,,,0.5,0.05,0.5,0.5147789550602849,0.11428571428571428,0.15384615384615383,0.8516624040920716,0.2681318681318681
C,,,0.5,0.1,0.01,0.5082987211096818,0.12903225806451615,0.1111111111111111,0.8538461538461538,0.24014336917562726
C,,,0.5,0.1,0.05,0.5128419534327988,0.125,0.13333333333333333,0.8542199488491048,0.2583333333333333
C,,,0.5,0.1,0.1,0.5148380289403528,0.125,0.14285714285714288,0.8531289910600256,0.2678571428571429
C,,,0.5,0.1,0.2,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.5,0.1,0.5,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.5,0.2,0.01,0.5082987211096818,0.12903225806451615,0.1111111111111111,0.8538461538461538,0.24014336917562726
C,,,0.5,0.2,0.05,0.5128419534327988,0.125,0.13333333333333333,0.8542199488491048,0.2583333333333333
C,,,0.5,0.2,0.1,0.5148380289403528,0.125,0.14285714285714288,0.8531289910600256,0.2678571428571429
